term,estimate,std.error,statistic,p.value,team
(Intercept),-0.9165503740044252,0.05318614035912559,-17.23287999120931,3.504407675281485e-66,"Team FI 1, Travelcare"
hour1,-0.05407141012115655,0.0539201252777409,-1.0028057212893402,0.31596391998142453,"Team FI 1, Travelcare"
hour2,0.10107021834181636,0.05199127983343841,1.9439840424319121,0.05190812480749346,"Team FI 1, Travelcare"
hour3,0.18970259684293905,0.05096846761329134,3.7219599828319976,1.9809799017432423e-4,"Team FI 1, Travelcare"
hour4,0.4281152354187213,0.04858626352203964,8.811445959916638,1.310764773920329e-18,"Team FI 1, Travelcare"
hour5,0.5016312333161205,0.047915223693455064,10.46914100882389,1.3458763156371776e-25,"Team FI 1, Travelcare"
hour6,1.028525484879095,0.044380229509516256,23.175307929819354,1.2519525013887403e-117,"Team FI 1, Travelcare"
hour7,1.5788512105596255,0.042373653013713666,37.26021001891556,4.2458371394519395e-296,"Team FI 1, Travelcare"
hour8,2.13437942192244,0.04241274174323494,50.32401429843627,0,"Team FI 1, Travelcare"
hour9,2.3555418241084007,0.04393450923861129,53.61484320480955,0,"Team FI 1, Travelcare"
hour10,2.398980516673866,0.04490945626818174,53.41815991598942,0,"Team FI 1, Travelcare"
hour11,2.320049529093964,0.04467014568050129,51.93736205133254,0,"Team FI 1, Travelcare"
hour12,2.2487927626321285,0.044078031637195494,51.018447945721604,0,"Team FI 1, Travelcare"
hour13,2.262747867665074,0.04387048830446551,51.57790476279592,0,"Team FI 1, Travelcare"
hour14,2.230046099881962,0.04370016672844635,51.030608504070706,0,"Team FI 1, Travelcare"
hour15,2.1158384226393734,0.04325570731877578,48.91466476427175,0,"Team FI 1, Travelcare"
hour16,2.0056785089142406,0.04278178388170581,46.881600693885545,0,"Team FI 1, Travelcare"
hour17,1.891031520779427,0.04248544461169462,44.510103120326015,0,"Team FI 1, Travelcare"
hour18,1.6969135023770627,0.042417171792424546,40.005342899361374,0,"Team FI 1, Travelcare"
hour19,1.5178408554934033,0.04260075720234433,35.62943372776191,1.6052630276903151e-271,"Team FI 1, Travelcare"
