term,estimate,std.error,statistic,p.value,team
(Intercept),-0.2795734837434376,0.041930862603782766,-6.667487058046262,2.6541980698225477e-11,"Team NO 1, Travelcare"
hour1,-0.1905839806313509,0.04187382629717605,-4.551386808523008,5.353411530862041e-6,"Team NO 1, Travelcare"
hour2,-0.1906018444312307,0.041910778165658684,-4.547800178699811,5.4453614503226595e-6,"Team NO 1, Travelcare"
hour3,-0.15152752423216298,0.041493939558134366,-3.6517989336700114,2.6091949889382504e-4,"Team NO 1, Travelcare"
hour4,-0.06892876203292518,0.04065786295682153,-1.695336572562292,0.09002353805308339,"Team NO 1, Travelcare"
hour5,0.042073651901242265,0.03960686990359329,1.0622816699136626,0.2881176782242382,"Team NO 1, Travelcare"
hour6,0.31259949154351363,0.03740906286400415,8.356250266945445,6.79285315316298e-17,"Team NO 1, Travelcare"
hour7,0.925708186122817,0.03400973068885591,27.218921390228683,6.908835946520869e-161,"Team NO 1, Travelcare"
hour8,1.72203209015178,0.032524746672229266,52.94528832171073,0,"Team NO 1, Travelcare"
hour9,2.16972829036001,0.03415825517239689,63.519880608929824,0,"Team NO 1, Travelcare"
hour10,2.298303681182334,0.03608692388684285,63.68799092959781,0,"Team NO 1, Travelcare"
hour11,2.1985811082442477,0.035958808978559055,61.14165543011123,0,"Team NO 1, Travelcare"
hour12,2.134276635056178,0.03528633600371503,60.484506944316244,0,"Team NO 1, Travelcare"
hour13,2.1652741692003565,0.03521970416565153,61.479056127679456,0,"Team NO 1, Travelcare"
hour14,2.1360073564672812,0.035065270204445186,60.915183143134655,0,"Team NO 1, Travelcare"
hour15,2.057832054037056,0.03457510466986514,59.517738953675966,0,"Team NO 1, Travelcare"
hour16,1.9005380051369865,0.03380287150188577,56.22415850176991,0,"Team NO 1, Travelcare"
hour17,1.6922509474626648,0.03310520026851053,51.117375328864085,0,"Team NO 1, Travelcare"
hour18,1.4969087037217288,0.032810911296199355,45.62228370338263,0,"Team NO 1, Travelcare"
hour19,1.3761916680727242,0.03280551468716437,41.95000996619569,0,"Team NO 1, Travelcare"
hour20,1.2342801600969595,0.03301471465219037,37.385758838144945,4.952328913320533e-298,"Team NO 1, Travelcare"
hour21,1.005489826184719,0.033638001719978064,29.891485069624245,4.616904776093638e-193,"Team NO 1, Travelcare"
hour22,0.6927925552726263,0.03493173843341016,19.83275343118941,6.802537611726556e-87,"Team NO 1, Travelcare"
hour23,0.3294396670542032,0.0371279634646662,8.873087460553098,7.560923398065312e-19,"Team NO 1, Travelcare"
weekdayTue,-0.12438134271875309,0.012519447179682158,-9.935050720179712,3.222685882015742e-23,"Team NO 1, Travelcare"
weekdayWed,-0.11666354516315956,0.013669248712729662,-8.534744492176454,1.479924702775742e-17,"Team NO 1, Travelcare"
weekdayThu,-0.11839050542594813,0.014498942694524647,-8.16545784891314,3.3457179805680456e-16,"Team NO 1, Travelcare"
weekdayFri,-0.10324431153275,0.013961805470095014,-7.394767944152383,1.459240468342647e-13,"Team NO 1, Travelcare"
weekdaySat,-0.26196519337346696,0.014609347548162743,-17.93134104790405,1.8067920982404565e-71,"Team NO 1, Travelcare"
weekdaySun,-0.27013741479942016,0.014713625086265586,-18.359677728337633,8.193454415572191e-75,"Team NO 1, Travelcare"
month2,0.01737218065955059,0.017443458489224142,0.9959137788118345,0.3193012879860157,"Team NO 1, Travelcare"
month3,0.024569975194794546,0.01635588701714163,1.5022098874273353,0.13305503008571748,"Team NO 1, Travelcare"
month4,-0.00815119346717903,0.01730160908104189,-0.47112343302858695,0.637556536227086,"Team NO 1, Travelcare"
month5,-0.05284743112671274,0.017564817189705734,-3.008709430672879,0.002626105314035756,"Team NO 1, Travelcare"
month6,0.02177591106065006,0.018355326449693937,1.1863537878408672,0.23549343016878885,"Team NO 1, Travelcare"
month7,-0.048591725819630324,0.022898198073710706,-2.1220764037069895,0.03384073031669892,"Team NO 1, Travelcare"
month8,-0.03652575998756748,0.017748352293585765,-2.057980334364213,0.039601944771861033,"Team NO 1, Travelcare"
month9,0.009865056435986895,0.016483904020726674,0.5984660201601929,0.5495342273498736,"Team NO 1, Travelcare"
month10,0.023400697629586607,0.016793839726474736,1.393409607970502,0.16350784702077656,"Team NO 1, Travelcare"
month11,0.006677032502802629,0.016415881497998438,0.4067422455270982,0.6842006499098774,"Team NO 1, Travelcare"
month12,0.011030212859884475,0.016449477807186655,0.6705509432685733,0.5025125858687148,"Team NO 1, Travelcare"
year_c,0.01641530109465214,0.00494724312100213,3.3180704269344665,9.076574829448913e-4,"Team NO 1, Travelcare"
Juleferie,0.05127931091249796,0.018493512600111686,2.7728269918927286,0.0055611133983539075,"Team NO 1, Travelcare"
Vinterferie,0.024307518477911596,0.02749790640828266,0.8839770605441407,0.37671675211530786,"Team NO 1, Travelcare"
Påskeferie,-0.010229381447135182,0.023675109282395964,-0.43207325149461573,0.6656917500567529,"Team NO 1, Travelcare"
