term,estimate,std.error,statistic,p.value,team
(Intercept),-0.09242367898294843,0.04177255588391356,-2.212545462618925,0.026937635567732533,"Team SE 1, Travelcare"
hour1,-0.1741941679691638,0.03855107019782221,-4.518530019407975,6.2543924516544274e-6,"Team SE 1, Travelcare"
hour2,-0.11302482027545944,0.037993343678432996,-2.974858470790983,0.002933924389967482,"Team SE 1, Travelcare"
hour3,-0.026034525558993302,0.037191930424921596,-0.7000046854666104,0.48393062773630036,"Team SE 1, Travelcare"
hour4,0.08661952474022186,0.036230280875925246,2.3908046707355197,0.016818548248703057,"Team SE 1, Travelcare"
hour5,0.21598360569811054,0.035227629653208296,6.13108539587591,8.853481470789514e-10,"Team SE 1, Travelcare"
hour6,0.5260322385361927,0.03325305386392575,15.819065541732204,4.196062397812416e-56,"Team SE 1, Travelcare"
hour7,0.9621578680204256,0.03131891528404532,30.72130242360514,1.2672403982016915e-203,"Team SE 1, Travelcare"
hour8,1.7293185910793145,0.030689657545194638,56.34857894822257,0,"Team SE 1, Travelcare"
hour9,2.0102219340079355,0.03264369159993698,61.58071699255413,0,"Team SE 1, Travelcare"
hour10,2.0713371242952654,0.03430381524893231,60.38212103418249,0,"Team SE 1, Travelcare"
hour11,1.9909429581705609,0.034259446021047996,58.11369386847015,0,"Team SE 1, Travelcare"
hour12,1.8847801690498263,0.03317531376217633,56.81273077208067,0,"Team SE 1, Travelcare"
hour13,1.9668107356334135,0.033176946788782906,59.28245140081396,0,"Team SE 1, Travelcare"
hour14,1.9521261926610662,0.03336954999917447,58.500225286507,0,"Team SE 1, Travelcare"
hour15,1.8847434798200031,0.03295857038878199,57.185231567613975,0,"Team SE 1, Travelcare"
hour16,1.7496625530696486,0.03206854024990657,54.560093457161535,0,"Team SE 1, Travelcare"
hour17,1.5386650506359265,0.03114208447814034,49.40790176444247,0,"Team SE 1, Travelcare"
hour18,1.3343614495827296,0.03074541527982969,43.4003391217203,0,"Team SE 1, Travelcare"
hour19,1.2041511925351873,0.030746367827717877,39.16401440594372,0,"Team SE 1, Travelcare"
hour20,1.062204292092323,0.031003275038746465,34.2610350282294,1.146233492241367e-251,"Team SE 1, Travelcare"
hour21,0.8177931194818445,0.03176870562575388,25.742097557128222,2.5205857958211285e-144,"Team SE 1, Travelcare"
hour22,0.5318716632798216,0.03308434444764029,16.07623400613449,7.112712348142886e-58,"Team SE 1, Travelcare"
hour23,0.15153126025293248,0.035552254776493784,4.262212374589557,2.0312398997393323e-5,"Team SE 1, Travelcare"
weekdayTue,-0.15907405501308905,0.012170781986477936,-13.070158942114366,6.465147610135208e-39,"Team SE 1, Travelcare"
weekdayWed,-0.15463456423612146,0.013819617165984947,-11.189496957754574,5.345512677186586e-29,"Team SE 1, Travelcare"
weekdayThu,-0.1624881756900658,0.015193708749844615,-10.694437965432735,1.2274653646345056e-26,"Team SE 1, Travelcare"
weekdayFri,-0.1579677754682561,0.0147437563113231,-10.71421502992002,9.923985339132022e-27,"Team SE 1, Travelcare"
weekdaySat,-0.31993324576878474,0.015061932942192808,-21.241181128390213,2.766385903998837e-99,"Team SE 1, Travelcare"
weekdaySun,-0.286025509416818,0.014297566454098553,-20.005188318941205,2.2891666665695753e-88,"Team SE 1, Travelcare"
month2,-0.005143963857765516,0.014829348495353212,-0.34687726567201393,0.7286863280336711,"Team SE 1, Travelcare"
month3,0.007591793558017862,0.014829388162172762,0.5119424668769027,0.6086956143804574,"Team SE 1, Travelcare"
month4,-0.007052189116040672,0.016517692659073397,-0.4269475925965245,0.6694210272309435,"Team SE 1, Travelcare"
month5,-0.03231398557906977,0.01788234425323871,-1.807032966229655,0.07076866887910942,"Team SE 1, Travelcare"
month6,-0.0016223431995287653,0.021256656884398373,-0.07632165341670012,0.9391637850980501,"Team SE 1, Travelcare"
month7,-0.025018537389181333,0.022003089300905318,-1.1370465777345158,0.255529270778139,"Team SE 1, Travelcare"
month8,-0.05273798265043849,0.0197565453511155,-2.669392938551414,0.007603558856837585,"Team SE 1, Travelcare"
month9,-0.018052452132621216,0.01740170564127747,-1.0373955579273881,0.29956117424425727,"Team SE 1, Travelcare"
month10,-0.014528893100974802,0.016917393356667882,-0.8588139315947473,0.39045108018455454,"Team SE 1, Travelcare"
month11,-0.005231865706721827,0.016133482260162858,-0.32428620321109863,0.7457239670240472,"Team SE 1, Travelcare"
month12,0.018072017691707215,0.01612800151608828,1.1205367059074063,0.26249544724226276,"Team SE 1, Travelcare"
year_c,0.0014990139812657208,0.003807096660880483,0.3937420335734364,0.6937747264713601,"Team SE 1, Travelcare"
Juleferie,0.03802732867501934,0.017088610916648657,2.2253025047209096,0.02606946288533619,"Team SE 1, Travelcare"
Vinterferie,6.463081245482824e-4,0.021676201752136092,0.029816484084191165,0.976213640564498,"Team SE 1, Travelcare"
Påskeferie,-0.0034610173309055953,0.02187128393413778,-0.1582448173288752,0.8742651157833192,"Team SE 1, Travelcare"
Sommerferie,0.04570347533372902,0.016770041595188453,2.725304828512885,0.00642850306310784,"Team SE 1, Travelcare"
Efterårsferie,0.04263006789192301,0.023099365933634756,1.8455081414096217,0.06497499304477145,"Team SE 1, Travelcare"
lag_1,0.01066568321785038,6.952180760942987e-4,15.341492956813882,6.8794357834195445e-53,"Team SE 1, Travelcare"
lag_24,0.0015405205180153748,6.785845285414118e-4,2.2701969367422175,0.02320376607067607,"Team SE 1, Travelcare"
