term,estimate,std.error,statistic,p.value,team
(Intercept),-0.9165503740044252,0.04980850020330141,-18.401485093174404,1.2781333776020035e-75,"Team FI 1, Travelcare"
hour1,-0.05407141012115655,0.05049587266013354,-1.070808509144667,0.28425554009164034,"Team FI 1, Travelcare"
hour2,0.10107021834181636,0.04868952051545882,2.075810508541089,0.03791148007513303,"Team FI 1, Travelcare"
hour3,0.18970259684293905,0.0477316630298217,3.9743554865125277,7.05700947902726e-5,"Team FI 1, Travelcare"
hour4,0.4281152354187213,0.04550074324203046,9.408972357692344,5.010111625238589e-21,"Team FI 1, Travelcare"
hour5,0.5016312333161205,0.04487231848300875,11.179079893232327,5.162241252838064e-29,"Team FI 1, Travelcare"
hour6,1.028525484879095,0.041561817714566074,24.746884073807728,3.349244005708123e-135,"Team FI 1, Travelcare"
hour7,1.5788512105596255,0.03968267090819371,39.786918935278194,0,"Team FI 1, Travelcare"
hour8,2.13437942192244,0.03971927726803034,53.73661276662709,0,"Team FI 1, Travelcare"
hour9,2.3555418241084007,0.041144403364622995,57.250601089861846,0,"Team FI 1, Travelcare"
hour10,2.398980516673866,0.04205743538748976,57.04058021063874,0,"Team FI 1, Travelcare"
hour11,2.320049529093964,0.04183332246305777,55.459365704045055,0,"Team FI 1, Travelcare"
hour12,2.2487927626321285,0.041278811226723736,54.47813771284841,0,"Team FI 1, Travelcare"
hour13,2.262747867665074,0.041084448145276675,55.07553270921113,0,"Team FI 1, Travelcare"
hour14,2.230046099881962,0.04092494301487063,54.49112290936226,0,"Team FI 1, Travelcare"
hour15,2.1158384226393734,0.0405087094538817,52.23169168220998,0,"Team FI 1, Travelcare"
hour16,2.0056785089142406,0.04006488300864127,50.060760404108805,0,"Team FI 1, Travelcare"
hour17,1.891031520779427,0.03978736306658619,47.52844559250356,0,"Team FI 1, Travelcare"
hour18,1.6969135023770627,0.0397234259824223,42.71820620728813,0,"Team FI 1, Travelcare"
hour19,1.5178408554934033,0.039895352613412434,38.04555558641985,0,"Team FI 1, Travelcare"
hour20,1.351038083061979,0.040272127867887524,33.54772033635897,9.719179992862801e-247,"Team FI 1, Travelcare"
hour21,1.0714871733805449,0.041291860242862174,25.949113628654334,1.8606693309092163e-148,"Team FI 1, Travelcare"
hour22,0.6469774381912261,0.04368037057338477,14.811628878108488,1.2321778171998779e-49,"Team FI 1, Travelcare"
hour23,0.20222905496406643,0.04745971298474094,4.261067803530255,2.0345249158207344e-5,"Team FI 1, Travelcare"
weekdayTue,-0.14595493259203215,0.013231338768812603,-11.031002617517467,2.7082873110564617e-28,"Team FI 1, Travelcare"
weekdayWed,-0.11393208537515345,0.013914020464382433,-8.188293647174126,2.6495573092123827e-16,"Team FI 1, Travelcare"
weekdayThu,-0.12932870223718027,0.014502223143519328,-8.917853556471716,4.754125023986332e-19,"Team FI 1, Travelcare"
weekdayFri,-0.09865557427449134,0.014007591499607421,-7.0430076631843725,1.8813387748225276e-12,"Team FI 1, Travelcare"
weekdaySat,-0.21447231750863763,0.014537141511910124,-14.753403709589177,2.9253122551959272e-49,"Team FI 1, Travelcare"
weekdaySun,-0.224968896668721,0.014724197700123865,-15.278856019899033,1.0578136385124313e-52,"Team FI 1, Travelcare"
month2,0.007584089526449776,0.018220079056589157,0.41624899117586683,0.6772278139068706,"Team FI 1, Travelcare"
month3,-0.0016124613638542702,0.017040507859971757,-0.09462519410245691,0.9246125376225871,"Team FI 1, Travelcare"
month4,-0.01635412663180194,0.018358648670207194,-0.8908132033890799,0.3730293906324611,"Team FI 1, Travelcare"
month5,-0.020047208000086508,0.018288228121333835,-1.096180989600669,0.2729995772669255,"Team FI 1, Travelcare"
month6,-0.024293340659340957,0.030347376281971504,-0.8005087633810678,0.4234160882507191,"Team FI 1, Travelcare"
month7,-0.03522457412143554,0.03193761624350654,-1.1029180716828635,0.2700627455200853,"Team FI 1, Travelcare"
