term,estimate,std.error,statistic,p.value,team
(Intercept),-0.2795734837434376,0.03898837410100809,-7.170688447257125,7.462154957494261e-13,"Team NO 1, Travelcare"
hour1,-0.1905839806313509,0.038935340303913685,-4.894884162915455,9.836365005413678e-7,"Team NO 1, Travelcare"
hour2,-0.1906018444312307,0.038969699083644636,-4.891026846836116,1.0031127990788797e-6,"Team NO 1, Travelcare"
hour3,-0.15152752423216298,0.03858211202817502,-3.9274035626019725,8.58678334265926e-5,"Team NO 1, Travelcare"
hour4,-0.06892876203292518,0.037804706907343,-1.8232851851454719,0.06826020893266348,"Team NO 1, Travelcare"
hour5,0.042073651901242265,0.03682746704647912,1.1424530459328646,0.25326575262842094,"Team NO 1, Travelcare"
hour6,0.31259949154351363,0.03478389060325088,8.986904170929582,2.5429217969989617e-19,"Team NO 1, Travelcare"
hour7,0.925708186122817,0.031623105770593594,29.273158456929153,2.2783887795606094e-188,"Team NO 1, Travelcare"
hour8,1.72203209015178,0.030242330160958644,56.94111799542611,0,"Team NO 1, Travelcare"
hour9,2.16972829036001,0.03176120758314567,68.31378450205379,0,"Team NO 1, Travelcare"
hour10,2.298303681182334,0.033554532420420675,68.49458226345685,0,"Team NO 1, Travelcare"
hour11,2.1985811082442477,0.03343540794594268,65.75607247857855,0,"Team NO 1, Travelcare"
hour12,2.134276635056178,0.03281012560525286,65.04932839130866,0,"Team NO 1, Travelcare"
hour13,2.1652741692003565,0.03274816964088348,66.11893711754762,0,"Team NO 1, Travelcare"
hour14,2.1360073564672812,0.032604573046882794,65.5125081195166,0,"Team NO 1, Travelcare"
hour15,2.057832054037056,0.03214880476435995,64.00959752999468,0,"Team NO 1, Travelcare"
hour16,1.9005380051369865,0.03143076287881882,60.46744752790453,0,"Team NO 1, Travelcare"
hour17,1.6922509474626648,0.030782050561512668,54.97525072545088,0,"Team NO 1, Travelcare"
hour18,1.4969087037217288,0.030508413249190024,49.06543947386286,0,"Team NO 1, Travelcare"
hour19,1.3761916680727242,0.030503395345935304,45.11601585546467,0,"Team NO 1, Travelcare"
hour20,1.2342801600969595,0.030697914752211855,40.20729649097833,0,"Team NO 1, Travelcare"
hour21,1.005489826184719,0.03127746279540033,32.14742297871381,9.595795971139833e-227,"Team NO 1, Travelcare"
hour22,0.6927925552726263,0.032480411836733634,21.32954959915608,6.038649994958878e-101,"Team NO 1, Travelcare"
hour23,0.3294396670542032,0.03452251728869455,9.542747543560163,1.390973464343078e-21,"Team NO 1, Travelcare"
weekdayTue,-0.12438134271875309,0.011640897894030538,-10.684858148488352,1.198321065742471e-26,"Team NO 1, Travelcare"
weekdayWed,-0.11666354516315956,0.012710012372689617,-9.178869519736898,4.356406740453852e-20,"Team NO 1, Travelcare"
weekdayThu,-0.11839050542594813,0.013481482772839686,-8.781712473383283,1.6100424579199678e-18,"Team NO 1, Travelcare"
weekdayFri,-0.10324431153275,0.012982039027846223,-7.952857891683498,1.8225736889130184e-15,"Team NO 1, Travelcare"
weekdaySat,-0.26196519337346696,0.013584139991625851,-19.284635872050742,7.229726609664112e-83,"Team NO 1, Travelcare"
weekdaySun,-0.27013741479942016,0.013681099877815241,-19.745299516266588,8.804131593347789e-87,"Team NO 1, Travelcare"
month2,0.01737218065955059,0.016219367858459517,1.071076308962917,0.28413511961615134,"Team NO 1, Travelcare"
month3,0.024569975194794546,0.015208116460752479,1.6155830512083582,0.10618449078515349,"Team NO 1, Travelcare"
month4,-0.00815119346717903,0.016087472699409834,-0.5066795524369752,0.6123796799266266,"Team NO 1, Travelcare"
month5,-0.05284743112671274,0.016332210240441937,-3.2357795025104163,0.0012131105378623405,"Team NO 1, Travelcare"
month6,0.02177591106065006,0.01706724569749811,1.27588900087389,0.2019947597682462,"Team NO 1, Travelcare"
month7,-0.048591725819630324,0.02129132236493212,-2.282231464385854,0.02247567838805609,"Team NO 1, Travelcare"
month8,-0.03652575998756748,0.016502865811217068,-2.2132980056555245,0.026877107031693315,"Team NO 1, Travelcare"
month9,0.009865056435986895,0.01532714990097113,0.6436328019054504,0.5198135743740429,"Team NO 1, Travelcare"
month10,0.023400697629586607,0.015615335940861355,1.498571514452849,0.1339848271567588,"Team NO 1, Travelcare"
month11,0.006677032502802629,0.015263900842908976,0.4374394574178935,0.6617926739482402,"Team NO 1, Travelcare"
month12,0.011030212859884475,0.015295139538936306,0.7211580405530296,0.47081228439670664,"Team NO 1, Travelcare"
year_c,0.01641530109465214,0.004600071488938767,3.5684882580899058,3.590469415149071e-4,"Team NO 1, Travelcare"
Juleferie,0.05127931091249796,0.017195734667042453,2.982094798821273,0.0028628333679479364,"Team NO 1, Travelcare"
Vinterferie,0.024307518477911596,0.02556824724001536,0.9506916234707449,0.34176094165787557,"Team NO 1, Travelcare"
Påskeferie,-0.010229381447135182,0.022013714010763765,-0.4646822177363371,0.6421590444763136,"Team NO 1, Travelcare"
Sommerferie,0.0583705182444972,0.016761529766193165,3.4824099624979614,4.969222959412762e-4,"Team NO 1, Travelcare"
Efterårsferie,0.01101736222562328,0.02574148858242069,0.4280001986034027,0.6686509757951291,"Team NO 1, Travelcare"
lag_1,0.009574948005779862,6.901538590613189e-4,13.87364263789351,9.150900615686606e-44,"Team NO 1, Travelcare"
lag_24,-4.8862424454949704e-5,6.773741884468413e-4,-0.07213505517088996,0.9424944288881082,"Team NO 1, Travelcare"
lag_48,-0.0026124351417688594,6.820392122260219e-4,-3.8303298328588196,1.2797160711317334e-4,"Team NO 1, Travelcare"
lag_168,0.003276814936730514,6.653989810792584e-4,4.9245866463690895,8.453886396993911e-7,"Team NO 1, Travelcare"
roll_mean_24,0.07760637210208234,0.003299019535273091,23.524071704430852,2.313570522771317e-122,"Team NO 1, Travelcare"
roll_mean_72,0.01366925829258953,0.006417093427810824,2.130132348291642,0.03316068835654128,"Team NO 1, Travelcare"
roll_mean_168,0.012739920337414636,0.006072410513222749,2.0980005073229653,0.03590510055639809,"Team NO 1, Travelcare"
