term,estimate,std.error,statistic,p.value,team
(Intercept),-0.09242367898294843,0.038376384617471615,-2.408347735311958,0.016024909350731434,"Team SE 1, Travelcare"
hour1,-0.1741941679691638,0.035416810535562726,-4.918403586744548,8.72528739650014e-7,"Team SE 1, Travelcare"
hour2,-0.11302482027545944,0.03490442801630954,-3.23812268811989,0.0012031905542136106,"Team SE 1, Travelcare"
hour3,-0.026034525558993302,0.034168170858864776,-0.7619525688551386,0.44608831327394205,"Team SE 1, Travelcare"
hour4,0.08661952474022186,0.033284704856399894,2.6023822387467224,0.009257860362891532,"Team SE 1, Travelcare"
hour5,0.21598360569811054,0.03236357067760808,6.673664282895295,2.4949400006900584e-11,"Team SE 1, Travelcare"
hour6,0.5260322385361927,0.030549530853077354,17.21899563911646,1.912787166377152e-66,"Team SE 1, Travelcare"
hour7,0.9621578680204256,0.028772640632348346,33.44002659730494,3.593839600201803e-245,"Team SE 1, Travelcare"
hour8,1.7293185910793145,0.028194542488754658,61.33522442398383,0,"Team SE 1, Travelcare"
hour9,2.0102219340079355,0.029989710652484552,67.03038776539162,0,"Team SE 1, Travelcare"
hour10,2.0713371242952654,0.03151486376601332,65.72572039892695,0,"Team SE 1, Travelcare"
hour11,1.9909429581705609,0.03147410182271254,63.25654563187071,0,"Team SE 1, Travelcare"
hour12,1.8847801690498263,0.03047811113786461,61.84045200584171,0,"Team SE 1, Travelcare"
hour13,1.9668107356334135,0.0304796113969658,64.52873397950233,0,"Team SE 1, Travelcare"
hour14,1.9521261926610662,0.030656555678304186,63.677283682674,0,"Team SE 1, Travelcare"
hour15,1.8847434798200031,0.03027898932487848,62.24591777478581,0,"Team SE 1, Travelcare"
hour16,1.7496625530696486,0.02946131996738106,59.38846443427644,0,"Team SE 1, Travelcare"
hour17,1.5386650506359265,0.02861018643542332,53.78032240750619,0,"Team SE 1, Travelcare"
hour18,1.3343614495827296,0.028245767036175217,47.24111219475018,0,"Team SE 1, Travelcare"
hour19,1.2041511925351873,0.02824664214049551,42.629888060530504,0,"Team SE 1, Travelcare"
hour20,1.062204292092323,0.028482662411049072,37.29301273747042,2.1300675165214303e-304,"Team SE 1, Travelcare"
hour21,0.8177931194818445,0.02918586234659062,28.02018010536447,9.225658365339371e-173,"Team SE 1, Travelcare"
hour22,0.5318716632798216,0.030394537764649808,17.498922582675757,1.460049611284083e-68,"Team SE 1, Travelcare"
hour23,0.15153126025293248,0.03266180329287631,4.6394027572256595,3.4941750089767767e-6,"Team SE 1, Travelcare"
weekdayTue,-0.15907405501308905,0.011181279208925289,-14.22682074570775,6.245733731086858e-46,"Team SE 1, Travelcare"
weekdayWed,-0.15463456423612146,0.012696061622417647,-12.179726976362547,3.986139989274766e-34,"Team SE 1, Travelcare"
