team,ds,calls,aht_sec,target_sl,threshold_sec,shrinkage,model_used,scenario_label,run_id,traffic_erlangs,agents_required,agents_with_shrinkage,achieved_sl
"Team DK 1, Travelcare",2026-01-01T00:00:00Z,2.1104288669356825,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.18524875609768768,1,2,0.826315335616633
"Team DK 1, Travelcare",2026-01-01T01:00:00Z,1.7395623285436947,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1526949155055021,1,2,0.8572052500335454
"Team DK 1, Travelcare",2026-01-01T02:00:00Z,1.7540535946724165,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15396692664346767,1,2,0.8560012209121155
"Team DK 1, Travelcare",2026-01-01T03:00:00Z,1.8862058468157616,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1655669576649391,1,2,0.8450100279000909
"Team DK 1, Travelcare",2026-01-01T04:00:00Z,2.0345423534412075,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.17858760657983933,1,2,0.8326488806557228
"Team DK 1, Travelcare",2026-01-01T05:00:00Z,2.3182135179852077,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.203487631023146,1,2,0.808939524658203
"Team DK 1, Travelcare",2026-01-01T06:00:00Z,3.4271409972836326,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.3008268208726744,2,3,0.9656151031134248
"Team DK 1, Travelcare",2026-01-01T07:00:00Z,6.165540270961377,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.5411974237843875,2,3,0.8973047360634666
"Team DK 1, Travelcare",2026-01-01T08:00:00Z,15.672373315338051,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.3756861021241178,3,5,0.8290781321336268
"Team DK 1, Travelcare",2026-01-01T09:00:00Z,25.417977113117857,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.231133546595901,5,8,0.9291717234979744
"Team DK 1, Travelcare",2026-01-01T10:00:00Z,25.503712892403897,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.2386592427776755,5,8,0.9282889341749202
"Team DK 1, Travelcare",2026-01-01T11:00:00Z,23.251996179377574,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.0410085535231426,4,6,0.8422897515917213
"Team DK 1, Travelcare",2026-01-01T12:00:00Z,20.78094559904144,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.824105224804749,4,6,0.887525449271352
"Team DK 1, Travelcare",2026-01-01T13:00:00Z,21.953230477031116,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9270057863171757,4,6,0.8671923958220312
"Team DK 1, Travelcare",2026-01-01T14:00:00Z,22.07336022174627,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.937550508353284,4,6,0.8649945574735285
"Team DK 1, Travelcare",2026-01-01T15:00:00Z,21.276654156371613,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.8676174203926197,4,6,0.879173063080602
"Team DK 1, Travelcare",2026-01-01T16:00:00Z,15.977609237551372,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.4024790330739538,3,5,0.820939056135503
"Team DK 1, Travelcare",2026-01-01T17:00:00Z,12.898692626737589,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.1322185750136329,3,5,0.8939923654582865
"Team DK 1, Travelcare",2026-01-01T18:00:00Z,10.328609107993852,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.906622355035016,3,5,0.9395632035320078
"Team DK 1, Travelcare",2026-01-01T19:00:00Z,8.995944386121126,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.7896440072261878,3,5,0.957741285952204
"Team DK 1, Travelcare",2026-01-01T20:00:00Z,7.691984042975084,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.6751852659944796,2,3,0.8465478126857916
"Team DK 1, Travelcare",2026-01-01T21:00:00Z,5.991328760835594,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.5259055245622355,2,3,0.9025570701620558
"Team DK 1, Travelcare",2026-01-01T22:00:00Z,3.9654129105895537,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.3480751332628608,2,3,0.9547231766566412
"Team DK 1, Travelcare",2026-01-01T23:00:00Z,2.685620828063958,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.23573782824116965,2,3,0.9783817838413988
"Team DK 1, Travelcare",2026-01-02T00:00:00Z,2.1728245658741288,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.19072571189339577,1,2,0.8211027769619405
"Team DK 1, Travelcare",2026-01-02T01:00:00Z,1.7909932054791846,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15720940359206176,1,2,0.8529309467825937
"Team DK 1, Travelcare",2026-01-02T02:00:00Z,1.8059129118613404,316,0.8,25,0.3,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15851902226338432,1,2,0.8516904359596228
