team,ds,calls,aht_sec,target_sl,threshold_sec,shrinkage,model_used,scenario_label,run_id,traffic_erlangs,agents_required,agents_with_shrinkage,achieved_sl
"Team SE 2, Travelcare",2026-01-01T00:00:00Z,1.8085422556171584,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15874982021528392,1,2,0.8514717906078457
"Team SE 2, Travelcare",2026-01-01T01:00:00Z,1.7054650636717557,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.14970193336674298,1,2,0.8600373236424712
"Team SE 2, Travelcare",2026-01-01T02:00:00Z,1.7872698939470872,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1568825795797999,1,2,0.853240484642777
"Team SE 2, Travelcare",2026-01-01T03:00:00Z,2.092692062740467,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1836918588405521,1,2,0.8277962561117629
"Team SE 2, Travelcare",2026-01-01T04:00:00Z,2.283743993121091,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.200461972729518,1,2,0.8118254525836848
"Team SE 2, Travelcare",2026-01-01T05:00:00Z,2.4078006835961214,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.21135139333788175,1,2,0.8014325117390219
"Team SE 2, Travelcare",2026-01-01T06:00:00Z,3.365196031644118,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.29538942944431706,2,4,0.9667826295366834
"Team SE 2, Travelcare",2026-01-01T07:00:00Z,6.445414737941705,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.5657641825526607,2,4,0.8886281010719064
"Team SE 2, Travelcare",2026-01-01T08:00:00Z,14.553810499706598,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.277501143863135,3,5,0.8572214614828
"Team SE 2, Travelcare",2026-01-01T09:00:00Z,22.739336877878355,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9960084592804337,4,7,0.8524209065715465
"Team SE 2, Travelcare",2026-01-01T10:00:00Z,26.085268323854297,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.2897068862049883,5,8,0.922110091152916
"Team SE 2, Travelcare",2026-01-01T11:00:00Z,24.32106764894147,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.1348492714070844,4,7,0.8198847273848167
"Team SE 2, Travelcare",2026-01-01T12:00:00Z,21.775404933623108,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.911396655284695,4,7,0.8704066137022568
"Team SE 2, Travelcare",2026-01-01T13:00:00Z,21.449469868355376,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.8827867995556384,4,7,0.8761768798930105
"Team SE 2, Travelcare",2026-01-01T14:00:00Z,22.21169872539711,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9496935547848575,4,7,0.862437066983966
"Team SE 2, Travelcare",2026-01-01T15:00:00Z,20.219594528852543,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.7748310753103895,4,7,0.8965540459499531
"Team SE 2, Travelcare",2026-01-01T16:00:00Z,18.63471536118009,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.6357139039258075,4,7,0.9196267099336513
"Team SE 2, Travelcare",2026-01-01T17:00:00Z,14.6255084544518,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.2837946310018804,3,5,0.8554970261031529
"Team SE 2, Travelcare",2026-01-01T18:00:00Z,10.775867228927297,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.9458816789836182,3,5,0.932634939530822
"Team SE 2, Travelcare",2026-01-01T19:00:00Z,8.276057980896743,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.7264539783231586,2,4,0.8249909109989866
"Team SE 2, Travelcare",2026-01-01T20:00:00Z,7.0970261231179315,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.6229611819181295,2,4,0.8673165399432642
"Team SE 2, Travelcare",2026-01-01T21:00:00Z,5.500999342306558,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.4828654978246869,2,4,0.9167139384934584
"Team SE 2, Travelcare",2026-01-01T22:00:00Z,3.317141145084202,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.29117127829072437,2,4,0.967675910031589
"Team SE 2, Travelcare",2026-01-01T23:00:00Z,2.32801155726499,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.20434768113770468,1,2,0.8081189429908837
"Team SE 2, Travelcare",2026-01-02T00:00:00Z,1.844043418259845,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.16186603338058642,1,2,0.8485188837907958
"Team SE 2, Travelcare",2026-01-02T01:00:00Z,1.7389428507783504,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15264053912387743,1,2,0.8572567149273477
"Team SE 2, Travelcare",2026-01-02T02:00:00Z,1.822353486268098,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15996213935019973,1,2,0.8503231754726346
"Team SE 2, Travelcare",2026-01-02T03:00:00Z,2.133771004108667,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1872976770273163,1,2,0.8243658502237916
"Team SE 2, Travelcare",2026-01-02T04:00:00Z,2.3285732287567193,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.20439698341308984,1,2,0.808071899882412
"Team SE 2, Travelcare",2026-01-02T05:00:00Z,2.4550651162705734,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.21550016020597257,2,4,0.9817983716807274
"Team SE 2, Travelcare",2026-01-02T06:00:00Z,3.431253858754801,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.30118783871292143,2,4,0.9655369470408788
"Team SE 2, Travelcare",2026-01-02T07:00:00Z,6.571936369493607,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.5768699702111055,2,4,0.8846104702684939
"Team SE 2, Travelcare",2026-01-02T08:00:00Z,14.839497600473074,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.302578122708192,3,5,0.8502854524170123
"Team SE 2, Travelcare",2026-01-02T09:00:00Z,23.185703499604276,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.035189529409709,4,7,0.8436220825903706
"Team SE 2, Travelcare",2026-01-02T10:00:00Z,26.597314614432825,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.334653171711326,5,8,0.9163905716224237
"Team SE 2, Travelcare",2026-01-02T11:00:00Z,24.798483189312257,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,2.1767557466174092,4,7,0.8093166981660695
"Team SE 2, Travelcare",2026-01-02T12:00:00Z,22.202849849415315,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9489168201153444,4,7,0.8626015086039196
"Team SE 2, Travelcare",2026-01-02T13:00:00Z,21.870516772861375,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9197453611733872,4,7,0.868693269317649
"Team SE 2, Travelcare",2026-01-02T14:00:00Z,22.64770796243404,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.9879654767025436,4,7,0.8541901279618366
"Team SE 2, Travelcare",2026-01-02T15:00:00Z,20.616499335311172,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.8096704972106472,4,7,0.8902174259252581
"Team SE 2, Travelcare",2026-01-02T16:00:00Z,19.000509446876848,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.6678224958925232,4,7,0.9146141015889474
"Team SE 2, Travelcare",2026-01-02T17:00:00Z,14.912602965382264,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.3089951491835543,3,5,0.8484827678367115
"Team SE 2, Travelcare",2026-01-02T18:00:00Z,10.987394393372565,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.9644490634182584,3,5,0.9292119965644872
"Team SE 2, Travelcare",2026-01-02T19:00:00Z,8.438514611095778,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.7407140603072961,2,4,0.8187950862579016
"Team SE 2, Travelcare",2026-01-02T20:00:00Z,7.2363386981455085,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.6351897301705501,2,4,0.8625635641358896
"Team SE 2, Travelcare",2026-01-02T21:00:00Z,5.60898237214287,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.49234400822142976,2,4,0.913676673703464
"Team SE 2, Travelcare",2026-01-02T22:00:00Z,3.382255668637425,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.2968868864692851,2,4,0.9664628927041512
"Team SE 2, Travelcare",2026-01-02T23:00:00Z,2.373709752411841,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.2083589671561505,1,2,0.8042902748580477
"Team SE 2, Travelcare",2026-01-03T00:00:00Z,1.3220803574087443,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1160492758169898,1,2,0.8917891020272015
"Team SE 2, Travelcare",2026-01-03T01:00:00Z,1.2467288800824026,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.1094350905850109,1,2,0.8980099245702695
"Team SE 2, Travelcare",2026-01-03T02:00:00Z,1.3065298379600858,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.11468428577649643,1,2,0.8930734434129843
"Team SE 2, Travelcare",2026-01-03T03:00:00Z,1.5297995176287609,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.13428240210296902,1,2,0.8746067568432476
"Team SE 2, Travelcare",2026-01-03T04:00:00Z,1.6694622784057007,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.14654168888227817,1,2,0.8630262204014496
"Team SE 2, Travelcare",2026-01-03T05:00:00Z,1.760150186400532,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.15450207191738002,1,2,0.8554946042264053
"Team SE 2, Travelcare",2026-01-03T06:00:00Z,2.4600252266421716,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.21593554767192397,2,4,0.9817277111177044
"Team SE 2, Travelcare",2026-01-03T07:00:00Z,4.711726360785349,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.413584869446714,2,4,0.9374885628253125
"Team SE 2, Travelcare",2026-01-03T08:00:00Z,10.63912492359501,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,0.9338787432933396,3,5,0.9347976587411094
"Team SE 2, Travelcare",2026-01-03T09:00:00Z,16.622907500983054,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.459121880641846,3,5,0.8030867966276503
"Team SE 2, Travelcare",2026-01-03T10:00:00Z,19.068849932364895,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.6738212718409184,4,7,0.91365700735558
"Team SE 2, Travelcare",2026-01-03T11:00:00Z,17.77918415232285,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.5606172755927834,4,7,0.930633398718131
"Team SE 2, Travelcare",2026-01-03T12:00:00Z,15.918254078913131,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.3972689691490414,3,5,0.8225371356300917
"Team SE 2, Travelcare",2026-01-03T13:00:00Z,15.679989063958224,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.3763545956141108,3,5,0.8288774493190036
"Team SE 2, Travelcare",2026-01-03T14:00:00Z,16.2371935177746,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.4252647643379923,3,5,0.813862851345537
"Team SE 2, Travelcare",2026-01-03T15:00:00Z,14.78092573084122,316,0.8,25,0.35,GLM_NegBin_baseline,NA,2025-12-22T20:50:18Z,1.2974368141516182,3,5,0.8517215857368061
